config_key,config_label,model_name,ranking_mode,target_mode,user_id,layer_index,layer_score,attribution_method,attribution_mode
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,0,1.6875005960464478,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,1,0.12499988079071045,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,2,1.8125001192092896,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,3,0.18750011920928955,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,4,0.9999998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,5,1.2499998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,6,0.5625001192092896,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,7,0.12499988079071045,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,8,2.1249998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,9,2.1249998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,10,1.3125001192092896,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,11,0.12500011920928955,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,12,0.49999988079071045,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,13,2.7499998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,14,0.9999998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5,15,0.9374998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,0,3.2812505960464478,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,1,1.8749998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,2,0.5,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,3,1.6249998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,4,1.125,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,5,2.3749998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,6,5.2499998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,7,0.6249998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,8,1.9999998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,9,1.9374998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,10,0.3749997615814209,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,11,0.5000001192092896,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,12,0.7499997615814209,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,13,2.1249998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,14,1.9999998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5,15,0.5624998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,0,0.0625,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,1,4.3125,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,2,0.4375,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,3,1.625,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,4,3.1875,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,5,1.9375,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,6,1.8125,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,7,1.4375,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,8,2.625,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,9,4.4375,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,10,0.125,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,11,0.31249988079071045,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,12,1.25,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,13,1.75,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,14,1.9375,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,609,15,0.0625,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,0,2.90625,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,1,1.8125,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,2,0.125,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,3,2.9375,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,4,2.9375,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,5,3.437499761581421,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,6,6.4375,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,7,0.8125,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,8,2.625,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,9,3.375,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,10,0.625,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,11,0.37500011920928955,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,12,0.875,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,13,1.250000238418579,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,14,3.5,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,609,15,1.0,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,1046,0,3.875000476837158,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,1046,1,1.6875,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,1046,2,0.7499998807907104,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,1046,3,0.875,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,1046,4,0.25,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,1046,5,2.25,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,1046,6,4.375,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,1046,7,0.125,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,1046,8,2.0,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,1046,9,1.0,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,1046,10,0.5,causal_bypass,causal_bypass
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,1046,11,0.49999988079071045,causal_bypass,causal_bypass
